@log,@timestamp,@message
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:38.461,"END RequestId: 72d82a7d-9b59-4b30-9d11-1a7572eef254
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:38.461,"REPORT RequestId: 72d82a7d-9b59-4b30-9d11-1a7572eef254	Duration: 13534.43 ms	Billed Duration: 13600 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 558.08 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:38.441,"[ERROR] AttributeError: 'str' object has no attribute 'write'Traceback (most recent call last):  File ""/var/task/startsparkml.py"", line 45, in lambda_handler    sudo_pw = getpass.getpass(""sudo pw for %s: "" % instance_ip, instance_ip)  File ""/var/lang/lib/python3.7/getpass.py"", line 91, in unix_getpass    passwd = fallback_getpass(prompt, stream)  File ""/var/lang/lib/python3.7/getpass.py"", line 125, in fallback_getpass    print(""Warning: Password input may be echoed."", file=stream)
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:38.362,"/var/lang/lib/python3.7/getpass.py:91: GetPassWarning: Can not control echo on the terminal.
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:38.362,"  passwd = fallback_getpass(prompt, stream)
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:38.361,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:27.280,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:26.861,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:09:24.907,"START RequestId: 72d82a7d-9b59-4b30-9d11-1a7572eef254 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.266,"END RequestId: b50ae4d4-e22c-4351-868c-9130a7504ede
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.266,"REPORT RequestId: b50ae4d4-e22c-4351-868c-9130a7504ede	Duration: 13453.26 ms	Billed Duration: 13500 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 617.27 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.246,"sudo pw for 3.91.53.15: [ERROR] EOFErrorTraceback (most recent call last):  File ""/var/task/startsparkml.py"", line 45, in lambda_handler    sudo_pw = getpass.getpass(""sudo pw for %s: "" % instance_ip)  File ""/var/lang/lib/python3.7/getpass.py"", line 91, in unix_getpass    passwd = fallback_getpass(prompt, stream)  File ""/var/lang/lib/python3.7/getpass.py"", line 126, in fallback_getpass    return _raw_input(prompt, stream)  File ""/var/lang/lib/python3.7/getpass.py"", line 148, in _raw_input    raise EOFError
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.169,"/var/lang/lib/python3.7/getpass.py:91: GetPassWarning: Can not control echo on the terminal.
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.169,"  passwd = fallback_getpass(prompt, stream)
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.169,"Warning: Password input may be echoed.
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:58.168,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:47.086,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:46.746,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:01:44.794,"START RequestId: b50ae4d4-e22c-4351-868c-9130a7504ede Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:36.312,"END RequestId: 6350c154-ce8d-46dc-88ef-27f5107cb7be
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:36.312,"REPORT RequestId: 6350c154-ce8d-46dc-88ef-27f5107cb7be	Duration: 13452.43 ms	Billed Duration: 13500 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 504.19 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:36.291,"[ERROR] NameError: name 'getpass' is not definedTraceback (most recent call last):  File ""/var/task/startsparkml.py"", line 44, in lambda_handler    sudo_pw = getpass.getpass(""sudo pw for %s: "" % instance_ip)
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:36.270,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:25.211,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:24.812,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:59:22.859,"START RequestId: 6350c154-ce8d-46dc-88ef-27f5107cb7be Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:50:46.549,"END RequestId: 269c74f6-5c58-492d-8b97-974b975fb82b
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:50:46.549,"REPORT RequestId: 269c74f6-5c58-492d-8b97-974b975fb82b	Duration: 113499.64 ms	Billed Duration: 113500 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 520.62 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:49:16.409,"Executing sudo docker run -it dd7b147c756b python3 /model/pyspark_model.py /bin/bash
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:49:16.408,"Executing sudo service docker start
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:49:16.348,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:48:55.290,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:48:54.968,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:48:53.029,"START RequestId: 269c74f6-5c58-492d-8b97-974b975fb82b Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:43:47.743,"REPORT RequestId: 4937d729-bf1a-43df-b52c-4faf7b65fdfc	Duration: 113473.03 ms	Billed Duration: 113500 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 512.93 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:43:47.724,"END RequestId: 4937d729-bf1a-43df-b52c-4faf7b65fdfc
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:42:17.587,"Executing sudo bash -c docker run -it dd7b147c756b python3 /model/pyspark_model.py /bin/bash
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:42:17.535,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:42:17.535,"Executing sudo bash -c service docker start
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:41:56.464,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:41:56.124,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:41:54.251,"START RequestId: 4937d729-bf1a-43df-b52c-4faf7b65fdfc Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:30:50.379,"END RequestId: 6915196d-2656-4b06-8b3e-0fa137fa8507
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:30:50.379,"REPORT RequestId: 6915196d-2656-4b06-8b3e-0fa137fa8507	Duration: 113616.90 ms	Billed Duration: 113700 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 505.53 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:29:20.247,"Executing sudo docker run -it dd7b147c756b python3 /model/pyspark_model.py /bin/bash
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:29:20.180,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:29:20.180,"Executing sudo service docker start
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:28:59.059,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:28:58.717,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:28:56.761,"START RequestId: 6915196d-2656-4b06-8b3e-0fa137fa8507 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:22:02.735,"REPORT RequestId: 482baa0d-9c2b-476a-89c7-a171eb9b1e1b	Duration: 113424.01 ms	Billed Duration: 113500 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 489.89 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:22:02.734,"END RequestId: 482baa0d-9c2b-476a-89c7-a171eb9b1e1b
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:20:32.604,"Executing sudo docker run -it dd7b147c756b python3 pyspark_model.py bash
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:20:32.553,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:20:32.553,"Executing sudo service docker start
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:20:11.435,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:20:11.114,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:20:09.310,"START RequestId: 482baa0d-9c2b-476a-89c7-a171eb9b1e1b Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:12:31.065,"REPORT RequestId: 0a1c3cca-6101-4692-8a9e-928becdab803	Duration: 113668.68 ms	Billed Duration: 113700 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 650.67 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:12:31.046,"END RequestId: 0a1c3cca-6101-4692-8a9e-928becdab803
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:11:00.865,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:11:00.788,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:11:00.788,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:10:39.703,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:10:39.384,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 03:10:37.376,"START RequestId: 0a1c3cca-6101-4692-8a9e-928becdab803 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:55:01.716,"END RequestId: 366a1170-37d7-4b3d-849d-5848c6a268dd
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:55:01.716,"REPORT RequestId: 366a1170-37d7-4b3d-849d-5848c6a268dd	Duration: 21287.35 ms	Billed Duration: 21300 ms	Memory Size: 128 MB	Max Memory Used: 99 MB	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:55:01.616,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:55:01.566,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:55:01.566,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:54:40.978,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:54:40.616,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:54:40.406,"START RequestId: 366a1170-37d7-4b3d-849d-5848c6a268dd Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:56.913,"REPORT RequestId: f74be6d1-7a15-4bca-b61f-ff696a256c41	Duration: 23582.89 ms	Billed Duration: 23600 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 521.45 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:56.894,"END RequestId: f74be6d1-7a15-4bca-b61f-ff696a256c41
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:56.820,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:56.766,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:56.766,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:35.636,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:35.274,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:49:33.311,"START RequestId: f74be6d1-7a15-4bca-b61f-ff696a256c41 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:47:16.389,"REPORT RequestId: 742121ab-b80f-4ffd-8b77-97bf85261890	Duration: 423837.50 ms	Billed Duration: 423900 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 632.82 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:47:16.388,"END RequestId: 742121ab-b80f-4ffd-8b77-97bf85261890
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:43:34.509,"END RequestId: 17833c34-5344-4a1a-b056-e9488324acfd
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:43:34.509,"REPORT RequestId: 17833c34-5344-4a1a-b056-e9488324acfd	Duration: 421393.32 ms	Billed Duration: 421400 ms	Memory Size: 128 MB	Max Memory Used: 114 MB	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:42:06.264,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:42:06.204,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:42:06.204,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:41:44.986,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:40:14.644,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:40:12.546,"START RequestId: 742121ab-b80f-4ffd-8b77-97bf85261890 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:38:24.368,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:38:24.319,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:38:24.319,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:38:03.670,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:36:33.291,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:36:33.114,"START RequestId: 17833c34-5344-4a1a-b056-e9488324acfd Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:32:51.830,"END RequestId: 9573e844-0259-412d-8e46-a26df145d210
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:32:51.830,"REPORT RequestId: 9573e844-0259-412d-8e46-a26df145d210	Duration: 424597.90 ms	Billed Duration: 424600 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 660.62 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:27:41.669,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:27:41.618,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:27:41.618,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:27:19.729,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:25:49.330,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:25:47.232,"START RequestId: 9573e844-0259-412d-8e46-a26df145d210 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:14:38.485,"REPORT RequestId: c05c44fd-70ba-477f-b7b9-5a9253b9ace1	Duration: 423978.40 ms	Billed Duration: 424000 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 652.81 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:14:38.466,"END RequestId: c05c44fd-70ba-477f-b7b9-5a9253b9ace1
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:09:28.303,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:09:28.248,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:09:28.248,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:09:07.023,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:07:36.583,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 02:07:34.485,"START RequestId: c05c44fd-70ba-477f-b7b9-5a9253b9ace1 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:49:25.130,"END RequestId: 3067e4f9-4594-407c-90dc-af4beb904bb6
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:49:25.130,"REPORT RequestId: 3067e4f9-4594-407c-90dc-af4beb904bb6	Duration: 423934.36 ms	Billed Duration: 424000 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 656.02 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:48:54.166,"END RequestId: 104fcd7a-8311-4a6b-a57f-67d8c20e46d8
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:48:54.166,"REPORT RequestId: 104fcd7a-8311-4a6b-a57f-67d8c20e46d8	Duration: 421330.07 ms	Billed Duration: 421400 ms	Memory Size: 128 MB	Max Memory Used: 115 MB	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:44:14.989,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:44:14.935,"Connected to 54.237.137.92
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:44:14.935,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:43:53.708,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:43:43.995,"Executing /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:43:43.941,"Connected to 54.237.137.92
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:43:43.941,"Executing chmod 700 /home/ec2-user/sparkml.sh
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:43:23.343,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:42:23.308,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:42:21.194,"START RequestId: 3067e4f9-4594-407c-90dc-af4beb904bb6 Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:41:53.063,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:41:52.811,"START RequestId: 104fcd7a-8311-4a6b-a57f-67d8c20e46d8 Version: $LATEST
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:41:36.469,"END RequestId: daf42bc4-7016-4d6f-8f14-b109c4e4b97c
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:41:36.469,"REPORT RequestId: daf42bc4-7016-4d6f-8f14-b109c4e4b97c	Duration: 2665.25 ms	Billed Duration: 2700 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	Init Duration: 281.45 ms	
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:41:36.429,"Started Instance ID ['i-0eb9a408ec2b491c8'] for processing
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:41:33.785,"START RequestId: daf42bc4-7016-4d6f-8f14-b109c4e4b97c Version: $LATEST
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:41:26.803,"END RequestId: 3067e4f9-4594-407c-90dc-af4beb904bb6
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:41:26.803,"REPORT RequestId: 3067e4f9-4594-407c-90dc-af4beb904bb6	Duration: 113737.95 ms	Billed Duration: 113800 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 653.14 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:41:26.763,"[ERROR] OSError: [Errno 97] Address family not supported by protocolTraceback (most recent call last):  File ""/var/task/startsparkml.py"", line 39, in lambda_handler    instance_ip, username='ec2-user', pkey=privkey  File ""/var/task/paramiko/client.py"", line 343, in connect    sock = socket.socket(af, socket.SOCK_STREAM)  File ""/var/lang/lib/python3.7/socket.py"", line 151, in __init__    _socket.socket.__init__(self, family, type, proto, fileno)
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:41:05.602,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:39:35.202,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 00:39:33.045,"START RequestId: 3067e4f9-4594-407c-90dc-af4beb904bb6 Version: $LATEST
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:39:15.733,"END RequestId: 88af5fc9-8fae-4321-ab6c-a6e9bf790ca5
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:39:15.733,"REPORT RequestId: 88af5fc9-8fae-4321-ab6c-a6e9bf790ca5	Duration: 1.81 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 55 MB	Init Duration: 128.81 ms	
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:39:15.717,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': unindent does not match any outer indentation level (lambda_function.py, line 16)Traceback (most recent call last):  File ""/var/task/lambda_function.py"" Line 16           return {
"
799687528413:/aws/lambda/start-sparkml-ec2,2020-03-11 00:39:15.716,"START RequestId: 88af5fc9-8fae-4321-ab6c-a6e9bf790ca5 Version: $LATEST
"
799687528413:/aws/lambda/end_cmss3-ec2,2020-03-11 00:32:41.952,"END RequestId: 29a242eb-19e3-47e6-9837-c39cb8f54639
"
799687528413:/aws/lambda/end_cmss3-ec2,2020-03-11 00:32:41.952,"REPORT RequestId: 29a242eb-19e3-47e6-9837-c39cb8f54639	Duration: 2038.80 ms	Billed Duration: 2100 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	Init Duration: 306.31 ms	
"
799687528413:/aws/lambda/end_cmss3-ec2,2020-03-11 00:32:41.912,"Stopped Instance ID ['i-0f9a14fb4d50a61a3']
"
799687528413:/aws/lambda/end_cmss3-ec2,2020-03-11 00:32:39.913,"START RequestId: 29a242eb-19e3-47e6-9837-c39cb8f54639 Version: $LATEST
"
799687528413:/aws/lambda/start-cmss3-ec2,2020-03-11 00:30:58.993,"END RequestId: bf313950-ce09-4c3a-9ff6-ceaef1d24052
"
